team,region,country,track,status,year,url
Goettingen,Europe,Germany,Health & Medicine,Accepted,2012,https://2012.igem.org/Team:Goettingen/Description
Goettingen,Europe,Germany,Health & Medicine,Accepted,2013,https://2013.igem.org/Team:Goettingen/Description
Goettingen,Europe,Germany,Health & Medicine,Accepted,2014,https://2014.igem.org/Team:Goettingen/Description
Goettingen,Europe,Germany,New Application,Accepted,2015,https://2015.igem.org/Team:Goettingen/Description
Goettingen,Europe,Germany,Food & Nutrition,Accepted,2016,https://2016.igem.org/Team:Goettingen/Description
Goettingen,Europe,Germany,Environment,Accepted,2018,https://2018.igem.org/Team:Goettingen/Description
Gothenburg,Europe,Sweden,Foundational Advance,Accepted,2014,https://2014.igem.org/Team:Gothenburg/Description
GO_Paris-Saclay,Europe,France,Environment,Accepted,2018,https://2018.igem.org/Team:GO_Paris-Saclay/Description
GO_Paris-Saclay,Europe,France,Foundational Advance,Accepted,2019,https://2019.igem.org/Team:GO_Paris-Saclay/Description
GPHS_Snohomish_WA,North America,United States,,Accepted,2012,https://2012.igem.org/Team:GPHS_Snohomish_WA/Description
GreatBay_China,Asia,China,High School,Accepted,2018,https://2018.igem.org/Team:GreatBay_China/Description
Greatbay_SCIE,Asia,China,High School,Accepted,2019,https://2019.igem.org/Team:Greatbay_SCIE/Description
GreatBay_SZ,Asia,China,High School,Accepted,2019,https://2019.igem.org/Team:GreatBay_SZ/Description
Greece,Europe,Greece,Therapeutics,Accepted,2017,https://2017.igem.org/Team:Greece/Description
GreenfieldCentral_IN,North America,United States,,Accepted,2012,https://2012.igem.org/Team:GreenfieldCentral_IN/Description
Greenfield_IN-Rihm-HS,North America,United States,,Accepted,2011,https://2011.igem.org/Team:Greenfield_IN-Rihm-HS/Description
Greenfield_IN-Schini-HS,North America,United States,,Accepted,2011,https://2011.igem.org/Team:Greenfield_IN-Schini-HS/Description
Greensboro-Austin,North America,United States,Manufacturing,Accepted,2013,https://2013.igem.org/Team:Greensboro-Austin/Description
Greensboro_Aggies,North America,United States,Art & Design,Accepted,2014,https://2014.igem.org/Team:Greensboro_Aggies/Description
Grenoble,Europe,France,Environment,Accepted,2011,https://2011.igem.org/Team:Grenoble/Description
Grenoble,Europe,France,Information Processing,Accepted,2012,https://2012.igem.org/Team:Grenoble/Description
Grenoble-Alpes,Europe,France,Diagnostics,Accepted,2017,https://2017.igem.org/Team:Grenoble-Alpes/Description
Grenoble-Alpes,Europe,France,Diagnostics,Accepted,2018,https://2018.igem.org/Team:Grenoble-Alpes/Description
Grenoble-Alpes,Europe,France,Diagnostics,Accepted,2019,https://2019.igem.org/Team:Grenoble-Alpes/Description
Grenoble-EMSE-LSU,Europe,France,New Application,Accepted,2013,https://2013.igem.org/Team:Grenoble-EMSE-LSU/Description
Grinnell,North America,United States,Manufacturing,Accepted,2011,https://2011.igem.org/Team:Grinnell/Description
Groningen,Europe,Netherlands,,Accepted,2008,https://2008.igem.org/Team:Groningen/Description
Groningen,Europe,Netherlands,Environment,Accepted,2009,https://2009.igem.org/Team:Groningen/Description
